Date,From,Subject
"Fri, 19 May 2023 10:15:51 +0000 (UTC)",Gillian Perkins <contact@gillianperkins.com>,"my ""risky decision"" thought process"
"Fri, 19 May 2023 08:26:39 +0000 (UTC)",Edureka Masterclass <info@email.meetup.com>,"Join 15 Members at ""Xpath Mastery for Selenium Test Automation tomorrow """""
"Fri, 19 May 2023 08:26:26 +0000 (UTC)",LinkedIn <jobs-listings@linkedin.com>,Hexa Business  is hiring: IT Intern (Software tester).
"Fri, 19 May 2023 06:19:52 +0000 (UTC)",X-Force Exchange <no-reply@xforce.ibmcloud.com>,IBM X-Force Exchange Notifications
"Fri, 19 May 2023 05:28:05 +0000 (UTC)",X-Force Exchange <no-reply@xforce.ibmcloud.com>,IBM X-Force Exchange Notifications
"Fri, 19 May 2023 04:46:37 +0000 (UTC)",LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,“student“: 1 opportunity
"Fri, 19 May 2023 02:15:14 +0000 (UTC)",Udemy <hello@students.udemy.com>,Make the career you want — starting at $9.99
"Fri, 19 May 2023 01:30:00 +0000 (UTC)",Medium Daily Digest <noreply@medium.com>,5 New DevOps Tools Expected to Make a Huge Impact in 2023 | CodeCircuit in CodeX
"Thu, 18 May 2023 17:58:00 -0700","""Ramesh Parajuli (रमेश पराजुली) (Classroom)"" <no-reply@classroom.google.com>","New material: ""CH 7"""
"Thu, 18 May 2023 19:11:14 +0000",Mackenzie Jackson <mackenzie.jackson@gitguardian.com>,"📡 SaaS-Sentinel launches, RSAc, BSides, and the state of secrets in AppSec..."
"Thu, 18 May 2023 18:43:24 +0000",Codecademy <learn@itr.mail.codecademy.com>,Get 50% off a year of Pro
"Thu, 18 May 2023 18:40:38 +0000 (UTC)","""Udemy Instructor: Joseph Delgadillo"" <no-reply@e.udemymail.com>",Learn to Code with the #1 Programming Language in 2023!
"Thu, 18 May 2023 18:27:54 +0000",DataCamp <team@datacamp.com>,Trending ChatGPT and AI content! 📈
"Thu, 18 May 2023 10:57:51 -0600",Coursera <Coursera@email.coursera.org>,NEW! Google Cybersecurity Professional Certificate
"Thu, 18 May 2023 16:17:47 +0000 (UTC)",X-Force Exchange <no-reply@xforce.ibmcloud.com>,IBM X-Force Exchange Notifications
"Thu, 18 May 2023 14:29:55 +0000 (UTC)",Premier League <comms@mailout.comms.premierleague.com>,2022/23 PL SEASON AWARDS! VOTE NOW! 🏆
"Thu, 18 May 2023 14:21:30 +0000",Brilliant <learn@account.brilliant.org>,"AAYUSH, what is your geometric strategy?"
"Thu, 18 May 2023 14:04:55 +0000",Dan Barahona <dan@apisecuniversity.com>,APIsec U webinar: Securing Banking APIs
"Thu, 18 May 2023 14:04:13 +0000",Mackenzie Jackson <mackenzie.jackson@gitguardian.com>,Solving the Puzzle
"Thu, 18 May 2023 13:24:22 +0000 (UTC)",LinkedIn <messages-noreply@linkedin.com>,24 new profile views
"Thu, 18 May 2023 13:06:48 +0000 (UTC)",Jon Calhoun <jon@calhoun.io>,Crash Course on Go Generics
"Thu, 18 May 2023 11:12:34 +0000",SharewareOnSale <admin@sharewareonsale.com>,"Be quick: 69% discount on genuine Windows 11 license // May 18, 2023"
"Thu, 18 May 2023 12:10:19 +0000 (UTC)",Meetup <info@email.meetup.com>,Highlights from Harvard’s 80-year study on happiness 😄
"Thu, 18 May 2023 11:01:30 +0000",SharewareOnSale <admin@sharewareonsale.com>,"Perfect PDF 12 free giveaway ends today // May 18, 2023"
"Thu, 18 May 2023 10:48:02 +0000 (UTC)",Edureka Masterclass <info@email.meetup.com>,"📅 Wednesday: Join 11 Members at ""Project Integration Management"""
"Thu, 18 May 2023 10:37:53 +0000",SharewareOnSale <admin@sharewareonsale.com>,New giveaway: Ashampoo UnInstaller 11
"Thu, 18 May 2023 09:52:52 +0000",EM Normandie Business School <noreply@docsity.com>,Get ready to study Business in France or in other parts of the world
"Thu, 18 May 2023 05:08:02 -0400",Red Hat <email@engage.redhat.com>,"Aayush, how was your Red Hat product trial?"
"Thu, 18 May 2023 08:37:31 +0000",donotreply@upwork.com,Action needed: Your profile is no longer appearing in client searches
"Thu, 18 May 2023 07:39:40 +0000 (UTC)",X-Force Exchange <no-reply@xforce.ibmcloud.com>,IBM X-Force Exchange Notifications
"Thu, 18 May 2023 07:00:13 +0000 (UTC)",X-Force Exchange <no-reply@xforce.ibmcloud.com>,IBM X-Force Exchange Notifications
"Thu, 18 May 2023 05:40:26 +0000 (UTC)","""GoodJobs Pvt.Ltd via LinkedIn"" <newsletters-noreply@linkedin.com>",GoodJobs Pvt.Ltd just published an article
"Thu, 18 May 2023 04:11:21 +0000 (UTC)",Edureka Masterclass <info@email.meetup.com>,"Join 20 Members at ""Building Scalable Applications with MapReduce tomorrow """""
"Thu, 18 May 2023 02:17:48 +0000 (UTC)",Udemy <hello@students.udemy.com>,The right skills. One really big sale.
"Thu, 18 May 2023 01:30:00 +0000 (UTC)",Medium Daily Digest <noreply@medium.com>,7 killer web apps you should start using in 2023 | ibrahim zahir
"Wed, 17 May 2023 16:30:23 -0500 (CDT)",Linode <no-reply@email.linode.com>,Free Course Now Available:  “Try Knative”
"Wed, 17 May 2023 21:18:06 +0000 (UTC)",DEV Community Digest <yo@dev.to>,"""7 Secret TypeScript Tricks Pros Use 😎🤫"" + 5 other trending DEV Community posts ❤️🦄🦁"
"Wed, 17 May 2023 20:21:12 +0000","""DeepLearning.AI"" <no-reply@m.mail.coursera.org>",Learn how to use AI for Good. Pre-enrollment for our new specialization is now available! 🌍
"Wed, 17 May 2023 20:23:29 +0300",SitePoint Premium <support@sitepoint.com>,[New Title] The Power of CSS Compels You!
"Wed, 17 May 2023 12:07:28 -0500 (CDT)",Microsoft Azure Team <azure@email.microsoft.com>,"Last chance to join Microsoft Build in Seattle, register today!"
"Wed, 17 May 2023 12:04:28 -0500 (CDT)",Cisco Meraki <hello@mail.meraki.com>,Blue Skies Ahead—Your Cloud-Ready Meraki Product Trial Awaits
"Wed, 17 May 2023 17:03:10 +0000 (UTC)",Udacity <support@udacity.com>,"Two weeks, one new Course every day"
"Wed, 17 May 2023 21:51:49 +0530 (IST)",Shiksha Study Abroad <counselling_alerts@shiksha.com>,AAYUSH don't give up on your study abroad dream just yet!
"Wed, 17 May 2023 16:24:02 +0000 (UTC)",Edureka Masterclass <info@email.meetup.com>,"📅 Tuesday: Join 20 Members at ""AWS S3 for Cloud Based Data Storage"""
"Wed, 17 May 2023 06:51:40 -0600",Grammarly Premium <info@send.grammarly.com>,Save 45% on Grammarly Premium’s advanced suggestions
"Wed, 17 May 2023 14:33:23 +0000",Elementor <team@news-mail.elementor.com>,[Release] CSS Grids for creating lean and intricate layouts
"Wed, 17 May 2023 12:57:27 +0000","""Talenthub.io"" <hello@talenthub.io>","Canonical: Aayush, how has your experience been as an applicant?"
"Wed, 17 May 2023 11:40:12 +0000 (UTC)",merojob via LinkedIn <newsletters-noreply@linkedin.com>,merojob just published an article
"Wed, 17 May 2023 04:09:15 -0700","""Nikita @ LinkedIn Learning"" <linkedin@e.linkedin.com>","AAYUSH, claim your unlimited access to LinkedIn Learning"
"Wed, 17 May 2023 10:15:23 +0000 (UTC)",Canva <marketing@engage.canva.com>,Can we have your autograph? #CanvaDesignChallenge
"Wed, 17 May 2023 10:08:47 +0000",SharewareOnSale <admin@sharewareonsale.com>,New giveaway for you: AbstractCurves
"Wed, 17 May 2023 09:19:53 +0000 (UTC)",Edureka Masterclass <info@email.meetup.com>,"Join 20 Members at ""Reinforcement Learning Algorithms tomorrow """""
